"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2372","Check displaying of dashboard page","LMS system","Sun Nov 09 15:48:12 UTC 2025","passed","Sun Nov 09 15:48:14 UTC 2025","Dashboard","Dashboard","",""
"","1681","Check displaying of empty course list","LMS system","Sun Nov 09 15:48:08 UTC 2025","passed","Sun Nov 09 15:48:09 UTC 2025","Courses","Courses","",""
"","2702","Create course","LMS system","Sun Nov 09 15:48:08 UTC 2025","passed","Sun Nov 09 15:48:11 UTC 2025","Courses","Courses","",""
"","1589","Navigation from login page to registration page","LMS system","Sun Nov 09 15:48:05 UTC 2025","passed","Sun Nov 09 15:48:07 UTC 2025","Authorization","Authentication","",""
"","1680","User login with wrong email or password","LMS system","Sun Nov 09 15:48:01 UTC 2025","passed","Sun Nov 09 15:48:03 UTC 2025","Authorization","Authentication","",""
"","2189","Registration with correct email, username and password","LMS system","Sun Nov 09 15:48:04 UTC 2025","passed","Sun Nov 09 15:48:06 UTC 2025","Registration","Authentication","",""
"","3279","User login with correct email and password","LMS system","Sun Nov 09 15:48:01 UTC 2025","passed","Sun Nov 09 15:48:05 UTC 2025","Authorization","Authentication","",""
"","2189","User login with wrong email or password","LMS system","Sun Nov 09 15:47:59 UTC 2025","passed","Sun Nov 09 15:48:01 UTC 2025","Authorization","Authentication","",""
"","2171","User login with wrong email or password","LMS system","Sun Nov 09 15:47:59 UTC 2025","passed","Sun Nov 09 15:48:01 UTC 2025","Authorization","Authentication","",""
"","4123","Edit course","LMS system","Sun Nov 09 15:48:10 UTC 2025","passed","Sun Nov 09 15:48:14 UTC 2025","Courses","Courses","",""
