"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1919","User login with wrong email or password","LMS system","Sun Nov 09 19:41:34 UTC 2025","passed","Sun Nov 09 19:41:36 UTC 2025","Authorization","Authentication","",""
"","1486","Navigation from login page to registration page","LMS system","Sun Nov 09 19:41:40 UTC 2025","passed","Sun Nov 09 19:41:41 UTC 2025","Authorization","Authentication","",""
"","1692","User login with wrong email or password","LMS system","Sun Nov 09 19:41:36 UTC 2025","passed","Sun Nov 09 19:41:38 UTC 2025","Authorization","Authentication","",""
"","1443","Check displaying of empty course list","LMS system","Sun Nov 09 19:41:42 UTC 2025","passed","Sun Nov 09 19:41:44 UTC 2025","Courses","Courses","",""
"","2016","User login with wrong email or password","LMS system","Sun Nov 09 19:41:34 UTC 2025","passed","Sun Nov 09 19:41:36 UTC 2025","Authorization","Authentication","",""
"","2210","Registration with correct email, username and password","LMS system","Sun Nov 09 19:41:39 UTC 2025","passed","Sun Nov 09 19:41:41 UTC 2025","Registration","Authentication","",""
"","3244","User login with correct email and password","LMS system","Sun Nov 09 19:41:36 UTC 2025","passed","Sun Nov 09 19:41:40 UTC 2025","Authorization","Authentication","",""
"","3373","Edit course","LMS system","Sun Nov 09 19:41:44 UTC 2025","passed","Sun Nov 09 19:41:48 UTC 2025","Courses","Courses","",""
"","2290","Create course","LMS system","Sun Nov 09 19:41:43 UTC 2025","passed","Sun Nov 09 19:41:45 UTC 2025","Courses","Courses","",""
"","2161","Check displaying of dashboard page","LMS system","Sun Nov 09 19:41:46 UTC 2025","passed","Sun Nov 09 19:41:48 UTC 2025","Dashboard","Dashboard","",""
