"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1737","Check displaying of empty course list","LMS system","Mon Nov 10 08:41:10 UTC 2025","passed","Mon Nov 10 08:41:11 UTC 2025","Courses","Courses","",""
"","1912","User login with wrong email or password","LMS system","Mon Nov 10 08:41:00 UTC 2025","passed","Mon Nov 10 08:41:02 UTC 2025","Authorization","Authentication","",""
"","2372","Check displaying of dashboard page","LMS system","Mon Nov 10 08:41:14 UTC 2025","passed","Mon Nov 10 08:41:16 UTC 2025","Dashboard","Dashboard","",""
"","3438","User login with correct email and password","LMS system","Mon Nov 10 08:41:03 UTC 2025","passed","Mon Nov 10 08:41:06 UTC 2025","Authorization","Authentication","",""
"","1827","Navigation from login page to registration page","LMS system","Mon Nov 10 08:41:06 UTC 2025","passed","Mon Nov 10 08:41:08 UTC 2025","Authorization","Authentication","",""
"","1880","User login with wrong email or password","LMS system","Mon Nov 10 08:41:03 UTC 2025","passed","Mon Nov 10 08:41:05 UTC 2025","Authorization","Authentication","",""
"","2571","Registration with correct email, username and password","LMS system","Mon Nov 10 08:41:05 UTC 2025","passed","Mon Nov 10 08:41:08 UTC 2025","Registration","Authentication","",""
"","4126","Edit course","LMS system","Mon Nov 10 08:41:12 UTC 2025","passed","Mon Nov 10 08:41:16 UTC 2025","Courses","Courses","",""
"","2006","User login with wrong email or password","LMS system","Mon Nov 10 08:41:00 UTC 2025","passed","Mon Nov 10 08:41:02 UTC 2025","Authorization","Authentication","",""
"","2919","Create course","LMS system","Mon Nov 10 08:41:10 UTC 2025","passed","Mon Nov 10 08:41:13 UTC 2025","Courses","Courses","",""
