"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1483","Navigation from login page to registration page","LMS system","Fri Jan 16 16:01:07 UTC 2026","passed","Fri Jan 16 16:01:08 UTC 2026","Authorization","Authentication","",""
"","1576","User login with wrong email or password","LMS system","Fri Jan 16 16:01:04 UTC 2026","passed","Fri Jan 16 16:01:05 UTC 2026","Authorization","Authentication","",""
"","1861","User login with wrong email or password","LMS system","Fri Jan 16 16:01:01 UTC 2026","passed","Fri Jan 16 16:01:03 UTC 2026","Authorization","Authentication","",""
"","2127","Check displaying of dashboard page","LMS system","Fri Jan 16 16:01:12 UTC 2026","passed","Fri Jan 16 16:01:15 UTC 2026","Dashboard","Dashboard","",""
"","1823","User login with wrong email or password","LMS system","Fri Jan 16 16:01:01 UTC 2026","passed","Fri Jan 16 16:01:03 UTC 2026","Authorization","Authentication","",""
"","2707","User login with correct email and password","LMS system","Fri Jan 16 16:01:04 UTC 2026","passed","Fri Jan 16 16:01:06 UTC 2026","Authorization","Authentication","",""
"","1932","Registration with correct email, username and password","LMS system","Fri Jan 16 16:01:06 UTC 2026","passed","Fri Jan 16 16:01:08 UTC 2026","Registration","Authentication","",""
"","2215","Create course","LMS system","Fri Jan 16 16:01:10 UTC 2026","passed","Fri Jan 16 16:01:12 UTC 2026","Courses","Courses","",""
"","3437","Edit course","LMS system","Fri Jan 16 16:01:11 UTC 2026","passed","Fri Jan 16 16:01:14 UTC 2026","Courses","Courses","",""
"","1454","Check displaying of empty course list","LMS system","Fri Jan 16 16:01:09 UTC 2026","passed","Fri Jan 16 16:01:11 UTC 2026","Courses","Courses","",""
