"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1772","User login with wrong email or password","LMS system","Fri Jan 16 16:52:59 UTC 2026","passed","Fri Jan 16 16:53:00 UTC 2026","Authorization","Authentication","",""
"","1552","Navigation from login page to registration page","LMS system","Fri Jan 16 16:53:03 UTC 2026","passed","Fri Jan 16 16:53:05 UTC 2026","Authorization","Authentication","",""
"","2783","User login with correct email and password","LMS system","Fri Jan 16 16:53:01 UTC 2026","passed","Fri Jan 16 16:53:04 UTC 2026","Authorization","Authentication","",""
"","1354","Check displaying of empty course list","LMS system","Fri Jan 16 16:53:06 UTC 2026","passed","Fri Jan 16 16:53:08 UTC 2026","Courses","Courses","",""
"","2299","Create course","LMS system","Fri Jan 16 16:53:07 UTC 2026","passed","Fri Jan 16 16:53:10 UTC 2026","Courses","Courses","",""
"","3044","Edit course","LMS system","Fri Jan 16 16:53:08 UTC 2026","passed","Fri Jan 16 16:53:11 UTC 2026","Courses","Courses","",""
"","1754","User login with wrong email or password","LMS system","Fri Jan 16 16:52:59 UTC 2026","passed","Fri Jan 16 16:53:00 UTC 2026","Authorization","Authentication","",""
"","1539","User login with wrong email or password","LMS system","Fri Jan 16 16:53:01 UTC 2026","passed","Fri Jan 16 16:53:03 UTC 2026","Authorization","Authentication","",""
"","1698","Check displaying of dashboard page","LMS system","Fri Jan 16 16:53:10 UTC 2026","passed","Fri Jan 16 16:53:12 UTC 2026","Dashboard","Dashboard","",""
"","1545","Registration with correct email, username and password","LMS system","Fri Jan 16 16:53:04 UTC 2026","passed","Fri Jan 16 16:53:06 UTC 2026","Registration","Authentication","",""
