"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1658","Check displaying of dashboard page","LMS system","Fri Jan 16 16:57:29 UTC 2026","passed","Fri Jan 16 16:57:30 UTC 2026","Dashboard","Dashboard","",""
"","1907","User login with wrong email or password","LMS system","Fri Jan 16 16:57:20 UTC 2026","passed","Fri Jan 16 16:57:22 UTC 2026","Authorization","Authentication","",""
"","2358","Create course","LMS system","Fri Jan 16 16:57:26 UTC 2026","passed","Fri Jan 16 16:57:28 UTC 2026","Courses","Courses","",""
"","2086","User login with wrong email or password","LMS system","Fri Jan 16 16:57:17 UTC 2026","passed","Fri Jan 16 16:57:19 UTC 2026","Authorization","Authentication","",""
"","2616","Edit course","LMS system","Fri Jan 16 16:57:27 UTC 2026","passed","Fri Jan 16 16:57:29 UTC 2026","Courses","Courses","",""
"","3152","User login with correct email and password","LMS system","Fri Jan 16 16:57:20 UTC 2026","passed","Fri Jan 16 16:57:23 UTC 2026","Authorization","Authentication","",""
"","1758","Registration with correct email, username and password","LMS system","Fri Jan 16 16:57:22 UTC 2026","passed","Fri Jan 16 16:57:24 UTC 2026","Registration","Authentication","",""
"","1394","Check displaying of empty course list","LMS system","Fri Jan 16 16:57:25 UTC 2026","passed","Fri Jan 16 16:57:27 UTC 2026","Courses","Courses","",""
"","2106","User login with wrong email or password","LMS system","Fri Jan 16 16:57:17 UTC 2026","passed","Fri Jan 16 16:57:19 UTC 2026","Authorization","Authentication","",""
"","1389","Navigation from login page to registration page","LMS system","Fri Jan 16 16:57:23 UTC 2026","passed","Fri Jan 16 16:57:24 UTC 2026","Authorization","Authentication","",""
